budget_per_group,replication,method,panel_mse
100,0,complete_rollout,7.351614620881557e-07
100,0,learned_mean,8.485644682989773e-06
100,0,learned_occupancy,3.188720335860981e-07
100,0,occ_plus_mean,8.757608564934046e-07
100,0,occ_plus_uniform,9.291607459247693e-07
100,0,oracle_tail,2.1810255740796125e-07
100,0,tis,1.3230856752970625e-05
100,0,tis_anchored,9.291607459247693e-07
100,0,uniform,1.3230856752970625e-05
100,1,complete_rollout,9.871116032547192e-08
100,1,learned_mean,1.3230856752970625e-05
100,1,learned_occupancy,1.7383403748456649e-06
100,1,occ_plus_mean,3.903800925548995e-06
100,1,occ_plus_uniform,3.903800925548995e-06
100,1,oracle_tail,2.12949637410149e-07
100,1,tis,1.3230856752970625e-05
100,1,tis_anchored,3.903800925548995e-06
100,1,uniform,6.776332365120761e-06
100,2,complete_rollout,3.5635921926917926e-07
100,2,learned_mean,8.485644682989773e-06
100,2,learned_occupancy,2.0688057716812345e-07
100,2,occ_plus_mean,3.877993119658058e-07
100,2,occ_plus_uniform,8.26399756154785e-09
100,2,oracle_tail,2.298458983605325e-07
100,2,tis,1.3230856752970625e-05
100,2,tis_anchored,8.26399756154785e-09
100,2,uniform,1.3230856752970625e-05
100,3,complete_rollout,1.4605513493654963e-06
100,3,learned_mean,9.710923730642657e-06
100,3,learned_occupancy,4.199231575640859e-07
100,3,occ_plus_mean,1.5405043814022284e-06
100,3,occ_plus_uniform,1.5405043814022284e-06
100,3,oracle_tail,6.676137029335694e-07
100,3,tis,9.710923730642657e-06
100,3,tis_anchored,1.5405043814022284e-06
100,3,uniform,6.6877015061412424e-06
100,4,complete_rollout,7.615542939762257e-07
100,4,learned_mean,1.3230856752970625e-05
100,4,learned_occupancy,7.582623110011854e-07
100,4,occ_plus_mean,1.549072019576412e-06
100,4,occ_plus_uniform,1.549072019576412e-06
100,4,oracle_tail,9.991756421678302e-08
100,4,tis,1.3230856752970625e-05
100,4,tis_anchored,1.549072019576412e-06
100,4,uniform,1.3230856752970625e-05
100,5,complete_rollout,1.3495005048920112e-07
100,5,learned_mean,1.3230856752970625e-05
100,5,learned_occupancy,2.1395069192893463e-06
100,5,occ_plus_mean,3.5191402762833006e-06
100,5,occ_plus_uniform,3.5191402762833006e-06
100,5,oracle_tail,7.160250129207937e-07
100,5,tis,1.3230856752970625e-05
100,5,tis_anchored,3.5191402762833006e-06
100,5,uniform,1.3230856752970625e-05
100,6,complete_rollout,3.182216825939458e-07
100,6,learned_mean,0.00020224218736218186
100,6,learned_occupancy,9.112660689217688e-08
100,6,occ_plus_mean,2.422920565547901e-06
100,6,occ_plus_uniform,2.422920565547901e-06
100,6,oracle_tail,8.236373481394127e-09
100,6,tis,0.00020224218736218186
100,6,tis_anchored,2.422920565547901e-06
100,6,uniform,0.00013335677812842162
100,7,complete_rollout,4.8033841032896e-07
100,7,learned_mean,1.3230856752970625e-05
100,7,learned_occupancy,3.860947818286494e-07
100,7,occ_plus_mean,1.1690865779097607e-06
100,7,occ_plus_uniform,1.1690865779097607e-06
100,7,oracle_tail,8.801701843023671e-08
100,7,tis,1.3230856752970625e-05
100,7,tis_anchored,1.1690865779097607e-06
100,7,uniform,1.3230856752970625e-05
100,8,complete_rollout,4.89496348220244e-07
100,8,learned_mean,8.62506868142859e-06
100,8,learned_occupancy,7.347633494787946e-07
100,8,occ_plus_mean,7.715866757531417e-07
100,8,occ_plus_uniform,6.606100561492209e-07
100,8,oracle_tail,2.3491713030864306e-07
100,8,tis,4.2616956093376e-05
100,8,tis_anchored,6.606100561492209e-07
100,8,uniform,2.8432948447958353e-05
100,9,complete_rollout,1.8946026765132855e-07
100,9,learned_mean,1.3230856752970625e-05
100,9,learned_occupancy,5.079923021137627e-07
100,9,occ_plus_mean,1.6489469455043493e-07
100,9,occ_plus_uniform,1.6489469455043493e-07
100,9,oracle_tail,8.493574580135009e-08
100,9,tis,1.3230856752970625e-05
100,9,tis_anchored,1.6489469455043493e-07
100,9,uniform,1.3230856752970625e-05
100,10,complete_rollout,3.4725986633803845e-07
100,10,learned_mean,9.922069932731024e-06
100,10,learned_occupancy,2.9571652918967324e-07
100,10,occ_plus_mean,5.783682350694608e-07
100,10,occ_plus_uniform,5.783682350694608e-07
100,10,oracle_tail,2.726822135366207e-07
100,10,tis,9.922069932731024e-06
100,10,tis_anchored,5.783682350694608e-07
100,10,uniform,6.776335811912692e-06
100,11,complete_rollout,3.0840133161125375e-07
100,11,learned_mean,9.922069932731024e-06
100,11,learned_occupancy,2.2763775855274626e-07
100,11,occ_plus_mean,2.5631251268358457e-06
100,11,occ_plus_uniform,2.5631251268358457e-06
100,11,oracle_tail,5.0500019117158816e-08
100,11,tis,9.922069932731024e-06
100,11,tis_anchored,2.5631251268358457e-06
100,11,uniform,3.6531569466326e-05
100,12,complete_rollout,8.740606279608028e-07
100,12,learned_mean,5.02183865908283e-06
100,12,learned_occupancy,2.2737835807649785e-08
100,12,occ_plus_mean,3.9008203904245036e-08
100,12,occ_plus_uniform,1.2608048135283335e-06
100,12,oracle_tail,3.385944438976099e-08
100,12,tis,9.922069932731024e-06
100,12,tis_anchored,1.2608048135283335e-06
100,12,uniform,6.776335811912692e-06
100,13,complete_rollout,2.4892179712125288e-08
100,13,learned_mean,9.922069932731024e-06
100,13,learned_occupancy,8.350743352483315e-07
100,13,occ_plus_mean,6.619699326776706e-07
100,13,occ_plus_uniform,6.619699326776706e-07
100,13,oracle_tail,4.672254299647837e-08
100,13,tis,9.922069932731024e-06
100,13,tis_anchored,6.619699326776706e-07
100,13,uniform,6.776335811912692e-06
100,14,complete_rollout,9.394478161023691e-07
100,14,learned_mean,1.3230856752970625e-05
