budget_per_group,replication,method,panel_mse
100,0,complete_rollout,4.534060649592654e-06
100,0,learned_mean,5.516521258282405e-05
100,0,learned_occupancy,2.4630718294221523e-05
100,0,occ_plus_mean,2.756261348816768e-05
100,0,occ_plus_uniform,1.6618059623171803e-05
100,0,oracle_tail,9.728373793278147e-06
100,0,tis,8.42234306396321e-05
100,0,tis_anchored,3.3844139133418054e-05
100,0,uniform,0.0001290452940120867
100,1,complete_rollout,2.355216357315531e-06
100,1,learned_mean,3.954171755162644e-05
100,1,learned_occupancy,2.0349334448552848e-05
100,1,occ_plus_mean,1.2513944999579857e-05
100,1,occ_plus_uniform,1.8830489725729547e-05
100,1,oracle_tail,2.1379155238562414e-06
100,1,tis,0.00010215786754818935
100,1,tis_anchored,1.2773607538877113e-05
100,1,uniform,0.00015080310514315604
100,2,complete_rollout,2.9848129713583847e-06
100,2,learned_mean,7.297218947955766e-05
100,2,learned_occupancy,2.902313603114561e-05
100,2,occ_plus_mean,1.2229677160931005e-05
100,2,occ_plus_uniform,1.4390039957471127e-05
100,2,oracle_tail,5.50163676350022e-05
100,2,tis,0.00010132231763180885
100,2,tis_anchored,1.3731705914022858e-05
100,2,uniform,0.00010048872215700851
100,3,complete_rollout,2.7602824528652458e-05
100,3,learned_mean,3.034687511841672e-05
100,3,learned_occupancy,5.958522195678417e-06
100,3,occ_plus_mean,3.832480802396142e-06
100,3,occ_plus_uniform,3.945513565274046e-06
100,3,oracle_tail,7.283876668879865e-06
100,3,tis,3.1182091554267274e-05
100,3,tis_anchored,5.51722030544023e-06
100,3,uniform,5.51061838355886e-05
100,4,complete_rollout,7.498656011580774e-06
100,4,learned_mean,1.914779846740686e-05
100,4,learned_occupancy,1.365555480453816e-05
100,4,occ_plus_mean,9.59878318699189e-06
100,4,occ_plus_uniform,1.1810059540969273e-05
100,4,oracle_tail,6.024634226516707e-06
100,4,tis,2.4437086883880773e-05
100,4,tis_anchored,9.58592075361933e-06
100,4,uniform,3.20694661744095e-05
100,5,complete_rollout,5.109849718070558e-06
100,5,learned_mean,4.663076588705e-05
100,5,learned_occupancy,1.0056439901851028e-05
100,5,occ_plus_mean,6.451859454041749e-06
100,5,occ_plus_uniform,1.778802217790644e-05
100,5,oracle_tail,1.6576685231175385e-05
100,5,tis,0.00044533241385349184
100,5,tis_anchored,9.896797230836216e-06
100,5,uniform,0.0001361258714985265
100,6,complete_rollout,4.136666330175365e-06
100,6,learned_mean,0.00013584053566038576
100,6,learned_occupancy,2.4356757406549254e-05
100,6,occ_plus_mean,2.3654884145242893e-05
100,6,occ_plus_uniform,9.679099619090153e-06
100,6,oracle_tail,3.4644655756429672e-06
100,6,tis,0.00063492197676523
100,6,tis_anchored,2.24017987993652e-05
100,6,uniform,0.00024139592830710373
100,7,complete_rollout,9.105713137885318e-06
100,7,learned_mean,0.0001997528376915748
100,7,learned_occupancy,4.228338470683942e-05
100,7,occ_plus_mean,2.3948624092518165e-05
100,7,occ_plus_uniform,2.4812697230344785e-05
100,7,oracle_tail,8.395254930590035e-06
100,7,tis,0.0002103986457037672
100,7,tis_anchored,2.8066583466098365e-05
100,7,uniform,0.0001326702760496384
100,8,complete_rollout,2.9320020427067953e-06
100,8,learned_mean,0.00021631311106931083
100,8,learned_occupancy,3.552741151716198e-05
100,8,occ_plus_mean,3.796901783088799e-05
100,8,occ_plus_uniform,1.3253610226377375e-05
100,8,oracle_tail,5.512398169097149e-06
100,8,tis,0.00021371348752343065
100,8,tis_anchored,3.833572971459885e-05
100,8,uniform,7.330700198794848e-05
100,9,complete_rollout,8.59705262255783e-06
100,9,learned_mean,0.0001653813972273103
100,9,learned_occupancy,6.962062684858852e-06
100,9,occ_plus_mean,6.807341323288457e-06
100,9,occ_plus_uniform,1.5560569400214008e-05
100,9,oracle_tail,5.285059911709538e-06
100,9,tis,0.00017790791102056188
100,9,tis_anchored,6.778675924562524e-06
100,9,uniform,4.302267506827382e-05
100,10,complete_rollout,1.6894086466450686e-05
100,10,learned_mean,2.243040984618575e-05
100,10,learned_occupancy,1.422999232189364e-05
100,10,occ_plus_mean,2.181985150487603e-05
100,10,occ_plus_uniform,2.5584739299474986e-05
100,10,oracle_tail,7.47466805064508e-06
100,10,tis,6.390300677860414e-05
100,10,tis_anchored,2.265915004149662e-05
100,10,uniform,0.00016078155446982601
100,11,complete_rollout,4.382577395735245e-06
100,11,learned_mean,2.1337805556089007e-05
100,11,learned_occupancy,6.511936000354145e-06
100,11,occ_plus_mean,6.804670288759134e-06
100,11,occ_plus_uniform,2.9992878815054077e-05
100,11,oracle_tail,7.814623185600978e-06
100,11,tis,3.956221942847712e-05
100,11,tis_anchored,6.5927733511710695e-06
100,11,uniform,0.00012523809422593522
100,12,complete_rollout,7.4390065178097305e-06
100,12,learned_mean,3.132826355622041e-05
100,12,learned_occupancy,3.394762573027255e-05
100,12,occ_plus_mean,1.760834366028607e-05
100,12,occ_plus_uniform,1.504919047723337e-05
100,12,oracle_tail,6.728651167989982e-06
100,12,tis,7.046442905744656e-05
100,12,tis_anchored,2.153124467431257e-05
100,12,uniform,0.00015949848440318173
100,13,complete_rollout,3.2615238072662353e-06
100,13,learned_mean,2.5073828264374907e-05
100,13,learned_occupancy,1.4313833049980804e-05
100,13,occ_plus_mean,1.1079777342388744e-05
100,13,occ_plus_uniform,6.421511755532834e-06
100,13,oracle_tail,6.829125957386872e-06
100,13,tis,2.0571033834772122e-05
100,13,tis_anchored,1.2221462236992103e-05
100,13,uniform,0.00027816381813073075
100,14,complete_rollout,1.104939289237982e-05
100,14,learned_mean,3.8387717156341043e-05
100,14,learned_occupancy,3.11725344699635e-05
100,14,occ_plus_mean,2.194346118279215e-05
100,14,occ_plus_uniform,8.807509817027196e-06
100,14,oracle_tail,5.975504615677964e-06
100,14,tis,2.5735318863885593e-05
100,14,tis_anchored,2.144677745001845e-05
100,14,uniform,5.7113720441530686e-05
100,15,complete_rollout,1.996302201570204e-06
100,15,learned_mean,0.0004027163637677645
100,15,learned_occupancy,0.0003818945213813125
100,15,occ_plus_mean,0.0003907716801904269
100,15,occ_plus_uniform,1.5069023007307593e-05
100,15,oracle_tail,0.0001008062818017139
100,15,tis,0.0005096115421205748
100,15,tis_anchored,0.0003534897877333765
100,15,uniform,0.0002227120780791153
100,16,complete_rollout,4.357086108719803e-06
100,16,learned_mean,0.00010463057025685807
100,16,learned_occupancy,2.10588016970383e-05
100,16,occ_plus_mean,8.306070029749736e-06
100,16,occ_plus_uniform,2.430636320345629e-05
100,16,oracle_tail,5.419533075874735e-05
100,16,tis,0.0002920250890802682
100,16,tis_anchored,1.7335421962425392e-05
100,16,uniform,0.00028476355842189976
100,17,complete_rollout,1.669774869393621e-05
100,17,learned_mean,4.422245439123162e-05
100,17,learned_occupancy,2.8323410208300534e-05
100,17,occ_plus_mean,2.9173762087446473e-05
100,17,occ_plus_uniform,5.621353225869196e-06
100,17,oracle_tail,5.534272443663981e-06
100,17,tis,8.733801142170569e-05
100,17,tis_anchored,2.2559887445082107e-05
100,17,uniform,7.03719129695956e-05
100,18,complete_rollout,1.3328597089091305e-05
100,18,learned_mean,2.7615153656098884e-05
100,18,learned_occupancy,6.9505157428675925e-06
100,18,occ_plus_mean,6.6655509857346085e-06
100,18,occ_plus_uniform,8.427747022060549e-06
100,18,oracle_tail,4.441017807271259e-06
100,18,tis,0.00012044701153082876
100,18,tis_anchored,1.2903468645019298e-05
100,18,uniform,8.248134375431395e-05
100,19,complete_rollout,1.508973280403985e-06
100,19,learned_mean,3.12978493053993e-05
100,19,learned_occupancy,1.734845785197544e-05
100,19,occ_plus_mean,9.745468221931712e-06
100,19,occ_plus_uniform,2.5656900122968054e-05
100,19,oracle_tail,8.341792657349416e-06
100,19,tis,2.4520148988989713e-05
100,19,tis_anchored,1.6828267211316444e-05
100,19,uniform,0.00013543766222730196
