budget_per_group,replication,method,panel_mse
100,0,complete_rollout,7.910533401328502e-06
100,0,learned_mean,0.00013754538927471425
100,0,learned_occupancy,2.2912537243008256e-05
100,0,occ_plus_mean,3.244200963350202e-05
100,0,occ_plus_uniform,3.2138063202022415e-05
100,0,oracle_tail,2.124993651803328e-05
100,0,tis,0.00036606539240443593
100,0,tis_anchored,4.0503505900730096e-05
100,0,uniform,0.00021333593249520233
100,1,complete_rollout,1.45163501181289e-05
100,1,learned_mean,2.0431247952037095e-05
100,1,learned_occupancy,7.657498784185239e-06
100,1,occ_plus_mean,1.9082699252299134e-05
100,1,occ_plus_uniform,1.285084575746203e-05
100,1,oracle_tail,2.2204916594297295e-06
100,1,tis,3.5744399024353126e-05
100,1,tis_anchored,1.9289687798662654e-05
100,1,uniform,7.843341179285386e-05
100,2,complete_rollout,1.4607205038860837e-05
100,2,learned_mean,6.603191161849436e-05
100,2,learned_occupancy,3.8599361840820105e-05
100,2,occ_plus_mean,3.136645937494502e-05
100,2,occ_plus_uniform,2.0451256959887492e-05
100,2,oracle_tail,1.4609149367762017e-05
100,2,tis,8.398304075485972e-05
100,2,tis_anchored,1.977419714654771e-05
100,2,uniform,5.958006508423042e-05
100,3,complete_rollout,2.047407417649502e-05
100,3,learned_mean,4.1838686172641366e-05
100,3,learned_occupancy,2.8699778062974452e-05
100,3,occ_plus_mean,2.2044580207936994e-05
100,3,occ_plus_uniform,1.4049355282845524e-05
100,3,oracle_tail,6.8233873725004145e-06
100,3,tis,4.1386986990532184e-05
100,3,tis_anchored,2.642614504386211e-05
100,3,uniform,5.379247815077511e-05
100,4,complete_rollout,6.4060351956613515e-06
100,4,learned_mean,4.7961394943018756e-05
100,4,learned_occupancy,1.3533027707911017e-05
100,4,occ_plus_mean,8.231888913141404e-06
100,4,occ_plus_uniform,1.0240081449914066e-05
100,4,oracle_tail,5.208725996415655e-06
100,4,tis,7.153774115883758e-05
100,4,tis_anchored,1.1668529204572161e-05
100,4,uniform,6.619991215616177e-05
100,5,complete_rollout,6.385671400533365e-06
100,5,learned_mean,0.00014599731964110103
100,5,learned_occupancy,1.5866079294655115e-05
100,5,occ_plus_mean,1.0132080249903359e-05
100,5,occ_plus_uniform,1.4116912816481985e-05
100,5,oracle_tail,1.8968566648141382e-05
100,5,tis,0.00016213939265707263
100,5,tis_anchored,1.48561056849794e-05
100,5,uniform,5.4678554279681635e-05
100,6,complete_rollout,7.359250641110712e-06
100,6,learned_mean,5.072993591407917e-05
100,6,learned_occupancy,1.3983392602317055e-05
100,6,occ_plus_mean,1.5466788114122212e-05
100,6,occ_plus_uniform,5.401987867524639e-06
100,6,oracle_tail,5.295601309403026e-06
100,6,tis,6.509597323108361e-05
100,6,tis_anchored,3.866114039974791e-06
100,6,uniform,0.00014571066563097779
100,7,complete_rollout,8.146625428076195e-06
100,7,learned_mean,0.00016586590942378206
100,7,learned_occupancy,1.2037435442518702e-05
